"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Sep-2024","EQ","1,015.70","1,038.00","1,012.00","1,029.20","1,030.00","1,028.60","1,024.49","1,348.00","686.00","10,79,051","1,10,54,76,236.90","42,345"
"03-Sep-2024","EQ","1,045.00","1,046.10","1,020.05","1,034.10","1,026.90","1,029.20","1,029.92","1,348.00","686.00","13,68,306","1,40,92,46,007.00","55,152"
"02-Sep-2024","EQ","1,017.00","1,049.00","1,003.40","1,007.40","1,036.90","1,034.10","1,024.97","1,348.00","686.00","28,21,331","2,89,17,87,358.80","75,603"
"30-Aug-2024","EQ","1,012.70","1,022.90","1,000.50","1,004.10","1,007.00","1,007.40","1,009.79","1,348.00","686.00","20,71,206","2,09,14,74,338.55","78,039"
"29-Aug-2024","EQ","1,025.50","1,027.00","984.00","1,027.15","1,004.10","1,004.10","996.73","1,348.00","686.00","65,14,855","6,49,35,66,035.70","1,55,456"
"28-Aug-2024","EQ","1,050.90","1,050.90","1,022.50","1,046.15","1,024.90","1,027.15","1,030.17","1,348.00","686.00","18,83,409","1,94,02,40,574.00","63,134"
"27-Aug-2024","EQ","1,055.15","1,062.00","1,043.50","1,053.35","1,046.00","1,046.15","1,049.00","1,348.00","686.00","13,19,608","1,38,42,64,768.00","45,585"
"26-Aug-2024","EQ","1,066.55","1,076.00","1,041.35","1,065.65","1,053.95","1,053.35","1,059.68","1,348.00","686.00","17,12,349","1,81,45,39,337.15","46,332"
"23-Aug-2024","EQ","1,081.00","1,086.00","1,060.00","1,077.75","1,065.70","1,065.65","1,066.90","1,348.00","686.00","14,65,165","1,56,31,90,436.85","58,250"
"22-Aug-2024","EQ","1,092.00","1,099.90","1,075.00","1,088.40","1,078.00","1,077.75","1,087.52","1,348.00","686.00","19,42,688","2,11,27,21,731.45","69,079"
"21-Aug-2024","EQ","1,099.70","1,115.50","1,075.00","1,099.90","1,090.90","1,088.40","1,094.73","1,348.00","686.00","20,48,993","2,24,31,03,977.40","50,847"
"20-Aug-2024","EQ","1,097.85","1,110.25","1,090.80","1,092.55","1,097.60","1,099.90","1,099.38","1,348.00","686.00","10,99,089","1,20,83,16,096.50","35,002"
"19-Aug-2024","EQ","1,089.80","1,111.90","1,089.80","1,085.30","1,095.60","1,092.55","1,100.42","1,348.00","686.00","17,82,102","1,96,10,63,777.50","70,395"
"16-Aug-2024","EQ","1,126.90","1,138.00","1,073.10","1,113.70","1,085.50","1,085.30","1,096.99","1,348.00","686.00","31,87,004","3,49,60,99,462.85","1,43,557"
"14-Aug-2024","EQ","1,082.00","1,119.00","1,070.10","1,071.25","1,112.00","1,113.70","1,101.95","1,348.00","686.00","38,46,943","4,23,91,50,856.05","1,32,714"
"13-Aug-2024","EQ","1,092.00","1,129.90","1,065.10","1,063.00","1,072.70","1,071.25","1,100.54","1,348.00","686.00","58,08,191","6,39,21,64,941.30","1,45,605"
"12-Aug-2024","EQ","1,072.00","1,082.95","1,036.05","1,103.80","1,067.90","1,063.00","1,064.83","1,348.00","686.00","63,68,619","6,78,15,15,030.30","1,96,884"
"09-Aug-2024","EQ","1,110.00","1,131.90","1,101.10","1,101.45","1,106.95","1,103.80","1,115.56","1,348.00","686.00","22,46,263","2,50,58,48,057.05","78,461"
"08-Aug-2024","EQ","1,132.00","1,135.00","1,096.05","1,131.65","1,103.00","1,101.45","1,114.00","1,348.00","686.00","27,60,169","3,07,48,37,791.90","1,14,431"
"07-Aug-2024","EQ","1,160.00","1,170.00","1,126.10","1,124.85","1,130.50","1,131.65","1,143.66","1,348.00","686.00","39,93,218","4,56,68,71,244.45","1,44,877"
"06-Aug-2024","EQ","1,171.00","1,183.40","1,094.30","1,159.10","1,135.00","1,124.85","1,127.61","1,348.00","686.00","1,19,68,412","13,49,57,14,282.00","3,65,313"
"05-Aug-2024","EQ","1,200.00","1,231.95","1,150.65","1,261.80","1,164.60","1,159.10","1,187.60","1,348.00","686.00","68,01,861","8,07,79,12,519.80","2,15,244"
"02-Aug-2024","EQ","1,250.00","1,309.00","1,231.10","1,275.20","1,263.00","1,261.80","1,275.30","1,348.00","686.00","96,02,722","12,24,63,15,599.65","2,59,080"
"01-Aug-2024","EQ","1,120.00","1,348.00","1,119.95","1,138.05","1,266.00","1,275.20","1,249.17","1,348.00","686.00","3,01,07,717","37,60,95,87,693.75","6,15,019"
"31-Jul-2024","EQ","1,156.00","1,168.80","1,125.25","1,124.90","1,133.50","1,138.05","1,140.51","1,250.00","686.00","46,60,152","5,31,49,62,309.25","96,780"
"30-Jul-2024","EQ","1,064.90","1,137.00","1,054.00","1,051.95","1,135.05","1,124.90","1,099.21","1,250.00","686.00","91,56,858","10,06,52,94,126.85","2,09,171"
"29-Jul-2024","EQ","1,059.15","1,110.00","1,047.85","1,051.95","1,050.00","1,051.95","1,069.84","1,250.00","686.00","47,73,418","5,10,67,91,579.80","1,01,615"
